attendance,assignment,quiz,midsem,engagement,risk
58,92,45,49,65.0,1
65,78,20,70,54.333333333333336,1
42,76,23,52,47.0,1
58,84,58,37,66.66666666666667,1
59,93,73,97,75.0,1
71,94,52,41,72.33333333333333,0
46,96,52,83,64.66666666666667,1
91,44,91,40,75.33333333333333,1
80,61,39,20,60.0,1
72,97,35,34,68.0,1
79,47,40,55,55.333333333333336,1
78,72,64,66,71.33333333333333,0
57,64,81,73,67.33333333333333,1
79,87,50,51,72.0,0
40,62,61,77,54.333333333333336,1
50,43,31,65,41.333333333333336,1
67,63,84,73,71.33333333333333,0
96,90,92,52,92.66666666666667,0
64,33,22,58,39.666666666666664,1
89,88,28,42,68.33333333333333,1
62,58,70,62,63.333333333333336,0
70,35,35,74,46.666666666666664,1
69,78,97,21,81.33333333333333,0
81,69,22,85,57.333333333333336,1
74,94,43,57,70.33333333333333,0
46,98,92,48,78.66666666666667,1
99,56,32,86,62.333333333333336,1
55,35,21,90,37.0,1
65,42,90,55,65.66666666666667,1
87,93,40,48,73.33333333333333,0
96,91,38,56,75.0,1
91,48,66,64,68.33333333333333,1
99,72,41,35,70.66666666666667,0
88,49,94,50,77.0,1
41,97,52,53,63.333333333333336,1
40,73,51,69,54.666666666666664,1
87,52,83,84,74.0,0
51,31,58,81,46.666666666666664,1
44,51,91,62,62.0,1
76,86,61,75,74.33333333333333,0
71,36,28,34,45.0,1
98,85,44,67,75.66666666666667,0
94,96,21,68,70.33333333333333,1
48,45,38,63,43.666666666666664,1
80,80,39,29,66.33333333333333,1
74,41,89,39,68.0,1
58,82,36,89,58.666666666666664,1
87,34,87,27,69.33333333333333,1
55,56,22,64,44.333333333333336,1
42,41,70,53,51.0,1
59,46,45,70,50.0,1
63,35,75,23,57.666666666666664,1
93,34,83,58,70.0,1
95,86,27,43,69.33333333333333,1
72,57,56,74,61.666666666666664,0
63,98,46,45,69.0,0
91,88,64,44,81.0,0
50,62,23,55,45.0,1
88,91,56,90,78.33333333333333,0
47,79,90,93,72.0,1
75,48,52,77,58.333333333333336,1
77,98,50,31,75.0,0
79,95,74,20,82.66666666666667,0
59,76,31,69,55.333333333333336,1
74,68,30,44,57.333333333333336,1
87,97,91,99,91.66666666666667,0
64,62,51,24,59.0,0
74,42,76,87,64.0,1
64,83,57,25,68.0,0
68,36,79,45,61.0,1
57,43,38,74,46.0,1
85,48,75,58,69.33333333333333,1
57,83,33,28,57.666666666666664,1
41,49,52,64,47.333333333333336,1
93,58,29,33,60.0,1
74,53,99,74,75.33333333333333,0
55,92,83,28,76.66666666666667,1
80,86,83,34,83.0,0
75,37,81,56,64.33333333333333,1
72,91,87,69,83.33333333333333,0
43,58,62,91,54.333333333333336,1
72,46,99,40,72.33333333333333,1
53,95,78,76,75.33333333333333,1
60,35,71,38,55.333333333333336,1
87,87,38,77,70.66666666666667,1
59,98,40,25,65.66666666666667,1
95,57,41,23,64.33333333333333,0
47,91,28,62,55.333333333333336,1
46,70,28,61,48.0,1
42,98,92,22,77.33333333333333,1
56,70,46,20,57.333333333333336,1
72,78,36,74,62.0,1
87,78,63,34,76.0,0
51,32,64,66,49.0,1
98,39,27,65,54.666666666666664,1
90,64,99,77,84.33333333333333,0
61,31,37,90,43.0,1
94,53,52,58,66.33333333333333,0
61,67,20,22,49.333333333333336,1
85,51,95,49,77.0,0
69,55,25,54,49.666666666666664,1
77,72,60,76,69.66666666666667,0
77,84,74,48,78.33333333333333,0
84,68,24,69,58.666666666666664,1
90,58,78,81,75.33333333333333,0
93,49,99,71,80.33333333333333,1
47,70,37,33,51.333333333333336,1
66,83,68,54,72.33333333333333,0
66,49,84,47,66.33333333333333,1
73,48,73,77,64.66666666666667,1
60,95,80,49,78.33333333333333,0
69,59,27,26,51.666666666666664,1
72,82,22,58,58.666666666666664,1
67,63,44,88,58.0,0
86,51,88,54,75.0,0
72,96,74,71,80.66666666666667,0
44,35,59,33,46.0,1
99,56,69,82,74.66666666666667,0
87,39,52,55,59.333333333333336,1
58,77,37,43,57.333333333333336,1
43,99,76,59,72.66666666666667,1
74,88,35,48,65.66666666666667,1
88,88,99,72,91.66666666666667,0
56,31,57,41,48.0,1
83,58,60,91,67.0,0
67,97,26,34,63.333333333333336,1
69,94,97,88,86.66666666666667,0
68,55,72,83,65.0,0
85,39,82,23,68.66666666666667,1
92,82,51,94,75.0,0
45,88,57,37,63.333333333333336,1
74,51,41,61,55.333333333333336,0
99,80,35,49,71.33333333333333,1
80,77,71,34,76.0,0
76,50,48,89,58.0,0
63,51,35,74,49.666666666666664,1
68,59,95,72,74.0,0
88,54,36,35,59.333333333333336,1
85,57,83,92,75.0,0
92,94,32,53,72.66666666666667,1
70,74,91,46,78.33333333333333,0
74,97,75,32,82.0,0
99,36,24,46,53.0,1
72,78,31,92,60.333333333333336,1
91,38,60,88,63.0,1
60,65,22,50,49.0,1
71,30,52,22,51.0,1
62,39,69,49,56.666666666666664,1
72,65,75,40,70.66666666666667,0
42,75,28,25,48.333333333333336,1
57,61,69,51,62.333333333333336,1
64,61,48,61,57.666666666666664,0
81,35,58,81,58.0,1
70,77,64,51,70.33333333333333,0
93,67,36,58,65.33333333333333,1
97,46,75,83,72.66666666666667,1
42,56,65,49,54.333333333333336,1
79,83,86,82,82.66666666666667,0
85,79,88,50,84.0,0
63,64,33,59,53.333333333333336,1
89,54,86,52,76.33333333333333,0
71,57,42,82,56.666666666666664,0
86,44,80,44,70.0,1
61,33,42,55,45.333333333333336,1
62,56,46,43,54.666666666666664,0
41,55,73,77,56.333333333333336,1
66,48,29,58,47.666666666666664,1
81,46,96,65,74.33333333333333,1
41,72,35,96,49.333333333333336,1
65,70,60,29,65.0,0
56,71,74,51,67.0,1
79,79,80,55,79.33333333333333,0
72,69,68,47,69.66666666666667,0
48,68,92,35,69.33333333333333,1
82,52,71,35,68.33333333333333,0
93,81,21,37,65.0,1
87,76,69,27,77.33333333333333,0
78,92,62,99,77.33333333333333,0
68,98,96,94,87.33333333333333,0
81,72,27,89,60.0,1
94,77,78,20,83.0,0
65,63,84,81,70.66666666666667,0
74,69,31,95,58.0,1
89,90,23,57,67.33333333333333,1
64,79,96,64,79.66666666666667,0
63,96,60,77,73.0,0
52,91,26,20,56.333333333333336,1
99,87,88,51,91.33333333333333,0
97,62,88,27,82.33333333333333,0
46,45,49,59,46.666666666666664,1
96,77,92,75,88.33333333333333,0
75,39,25,82,46.333333333333336,1
84,67,38,93,63.0,1
59,48,99,93,68.66666666666667,1
40,65,85,55,63.333333333333336,1
47,88,29,76,54.666666666666664,1
85,92,35,93,70.66666666666667,1
55,75,56,64,62.0,1
53,32,98,98,61.0,1
51,94,96,99,80.33333333333333,1
90,37,96,21,74.33333333333333,1
62,80,51,87,64.33333333333333,0
54,35,66,69,51.666666666666664,1
67,68,91,48,75.33333333333333,0
73,89,62,29,74.66666666666667,0
41,57,55,46,51.0,1
71,83,45,34,66.33333333333333,0
62,66,29,79,52.333333333333336,1
61,38,50,50,49.666666666666664,1
90,85,48,40,74.33333333333333,0
64,88,24,79,58.666666666666664,1
97,31,96,77,74.66666666666667,1
61,90,20,60,57.0,1
97,87,22,65,68.66666666666667,1
97,89,86,64,90.66666666666667,0
61,69,90,45,73.33333333333333,0
88,65,54,70,69.0,0
91,66,34,55,63.666666666666664,1
81,47,86,71,71.33333333333333,1
45,92,49,70,62.0,1
54,51,94,22,66.33333333333333,1
93,40,62,33,65.0,1
82,87,79,68,82.66666666666667,0
99,86,59,96,81.33333333333333,0
76,33,84,20,64.33333333333333,1
72,36,48,76,52.0,1
47,90,93,36,76.66666666666667,1
92,83,38,69,71.0,1
99,97,22,33,72.66666666666667,1
83,30,55,78,56.0,1
83,84,62,22,76.33333333333333,0
44,32,34,59,36.666666666666664,1
78,67,60,85,68.33333333333333,0
43,30,99,53,57.333333333333336,1
45,67,55,28,55.666666666666664,1
84,58,96,40,79.33333333333333,0
71,34,52,44,52.333333333333336,1
91,50,24,63,55.0,1
69,96,97,44,87.33333333333333,0
86,76,33,28,65.0,1
74,64,87,81,75.0,0
94,97,66,45,85.66666666666667,0
79,98,73,76,83.33333333333333,0
91,30,23,56,48.0,1
55,97,28,35,60.0,1
52,41,72,56,55.0,1
89,89,96,95,91.33333333333333,0
99,56,97,43,84.0,0
81,85,79,45,81.66666666666667,0
69,52,65,39,62.0,0
58,54,73,28,61.666666666666664,1
56,50,93,48,66.33333333333333,1
95,90,56,50,80.33333333333333,0
58,92,42,38,64.0,1
67,81,46,39,64.66666666666667,0
97,54,89,46,80.0,0
94,84,85,63,87.66666666666667,0
65,75,80,54,73.33333333333333,0
76,61,96,90,77.66666666666667,0
65,84,70,41,73.0,0
92,34,69,93,65.0,1
62,65,38,34,55.0,1
48,78,20,32,48.666666666666664,1
51,87,59,23,65.66666666666667,1
92,68,51,75,70.33333333333333,0
40,90,41,42,57.0,1
97,38,85,53,73.33333333333333,1
97,35,59,36,63.666666666666664,1
40,64,57,47,53.666666666666664,1
86,68,67,33,73.66666666666667,0
73,51,74,53,66.0,0
71,70,94,94,78.33333333333333,0
93,34,74,76,67.0,1
87,71,70,96,76.0,0
64,96,79,74,79.66666666666667,0
79,59,27,85,55.0,1
84,86,87,56,85.66666666666667,0
92,58,94,87,81.33333333333333,0
40,66,91,95,65.66666666666667,1
55,42,28,45,41.666666666666664,1
78,61,21,80,53.333333333333336,1
44,75,99,86,72.66666666666667,1
61,52,89,93,67.33333333333333,0
68,74,78,71,73.33333333333333,0
94,46,38,37,59.333333333333336,1
42,95,47,72,61.333333333333336,1
51,35,91,82,59.0,1
65,47,33,72,48.333333333333336,1
55,51,43,46,49.666666666666664,1
90,62,63,50,71.66666666666667,0
76,59,75,20,70.0,0
61,61,70,25,64.0,0
96,71,51,30,72.66666666666667,0
68,39,69,53,58.666666666666664,1
53,65,60,82,59.333333333333336,1
67,63,85,72,71.66666666666667,0
44,57,44,37,48.333333333333336,1
86,40,80,40,68.66666666666667,1
88,68,85,38,80.33333333333333,0
69,76,61,23,68.66666666666667,0
85,48,84,96,72.33333333333333,1
91,44,55,48,63.333333333333336,1
44,57,95,44,65.33333333333333,1
51,53,28,75,44.0,1
55,38,55,96,49.333333333333336,1
65,76,57,82,66.0,0
65,62,52,46,59.666666666666664,0
87,91,61,79,79.66666666666667,0
60,48,80,68,62.666666666666664,1
78,96,65,84,79.66666666666667,0
75,69,80,57,74.66666666666667,0
72,76,37,71,61.666666666666664,1
69,94,89,20,84.0,0
76,58,99,59,77.66666666666667,0
62,79,34,40,58.333333333333336,1
97,42,67,34,68.66666666666667,1
49,30,91,69,56.666666666666664,1
93,63,32,67,62.666666666666664,1
44,77,62,51,61.0,1
75,77,79,68,77.0,0
73,78,76,87,75.66666666666667,0
91,93,90,64,91.33333333333333,0
70,90,36,51,65.33333333333333,1
49,58,69,23,58.666666666666664,1
97,68,51,84,72.0,0
58,55,41,90,51.333333333333336,1
97,46,74,92,72.33333333333333,1
71,42,76,84,63.0,1
40,98,32,99,56.666666666666664,1
95,55,66,37,72.0,0
44,78,81,73,67.66666666666667,1
84,96,73,66,84.33333333333333,0
43,36,48,25,42.333333333333336,1
55,87,41,85,61.0,1
63,78,84,28,75.0,0
55,82,48,87,61.666666666666664,1
94,94,67,42,85.0,0
41,91,24,62,52.0,1
88,46,54,70,62.666666666666664,1
67,72,93,91,77.33333333333333,0
71,54,90,44,71.66666666666667,0
66,32,65,99,54.333333333333336,1
59,58,54,54,57.0,1
63,61,64,36,62.666666666666664,0
51,55,32,37,46.0,1
89,45,29,46,54.333333333333336,1
74,54,85,34,71.0,0
99,83,89,88,90.33333333333333,0
72,57,91,99,73.33333333333333,0
72,85,44,34,67.0,0
90,94,63,61,82.33333333333333,0
82,70,79,53,77.0,0
76,80,66,67,74.0,0
51,58,59,27,56.0,1
42,48,26,29,38.666666666666664,1
40,95,65,24,66.66666666666667,1
72,70,42,67,61.333333333333336,0
79,74,65,45,72.66666666666667,0
49,44,32,42,41.666666666666664,1
82,32,40,81,51.333333333333336,1
83,40,20,32,47.666666666666664,1
68,82,38,28,62.666666666666664,1
52,75,79,39,68.66666666666667,1
51,59,52,76,54.0,1
70,86,23,43,59.666666666666664,1
85,47,22,52,51.333333333333336,1
41,80,71,39,64.0,1
90,77,47,79,71.33333333333333,0
89,95,89,67,91.0,0
74,37,89,83,66.66666666666667,1
62,51,74,49,62.333333333333336,0
56,35,76,92,55.666666666666664,1
65,86,35,36,62.0,1
47,65,43,33,51.666666666666664,1
68,86,88,38,80.66666666666667,0
65,78,60,90,67.66666666666667,0
49,74,96,78,73.0,1
65,95,66,86,75.33333333333333,0
73,74,95,63,80.66666666666667,0
90,49,88,51,75.66666666666667,1
80,93,50,30,74.33333333333333,0
46,96,49,21,63.666666666666664,1
43,32,37,87,37.333333333333336,1
97,83,63,36,81.0,0
92,93,46,59,77.0,0
89,69,45,65,67.66666666666667,0
84,88,79,23,83.66666666666667,0
50,84,37,57,57.0,1
68,91,75,82,78.0,0
95,33,50,48,59.333333333333336,1
75,89,78,38,80.66666666666667,0
64,59,21,48,48.0,1
60,31,58,54,49.666666666666664,1
96,91,80,89,89.0,0
75,78,82,42,78.33333333333333,0
49,38,37,65,41.333333333333336,1
76,60,36,63,57.333333333333336,1
48,90,58,67,65.33333333333333,1
63,77,90,71,76.66666666666667,0
74,54,73,27,67.0,0
88,65,95,74,82.66666666666667,0
74,37,54,85,55.0,1
87,87,30,96,68.0,1
75,74,80,59,76.33333333333333,0
57,91,63,50,70.33333333333333,1
88,68,87,67,81.0,0
78,87,44,80,69.66666666666667,0
71,93,67,71,77.0,0
63,73,51,57,62.333333333333336,0
62,58,23,55,47.666666666666664,1
71,88,57,74,72.0,0
76,38,82,32,65.33333333333333,1
51,35,66,56,50.666666666666664,1
88,58,20,66,55.333333333333336,1
94,87,22,90,67.66666666666667,1
52,46,81,41,59.666666666666664,1
62,45,83,58,63.333333333333336,1
64,32,36,77,44.0,1
74,50,97,49,73.66666666666667,0
80,93,81,37,84.66666666666667,0
69,65,54,37,62.666666666666664,0
56,91,32,93,59.666666666666664,1
88,71,54,58,71.0,0
59,71,62,45,64.0,1
87,90,21,90,66.0,1
64,42,75,26,60.333333333333336,1
61,40,96,88,65.66666666666667,1
52,83,70,84,68.33333333333333,1
98,45,73,65,72.0,1
58,37,35,37,43.333333333333336,1
88,88,37,32,71.0,1
75,86,26,44,62.333333333333336,1
51,69,64,27,61.333333333333336,1
80,88,55,93,74.33333333333333,0
58,31,60,51,49.666666666666664,1
51,39,61,36,50.333333333333336,1
48,73,26,98,49.0,1
46,40,34,98,40.0,1
67,31,79,67,59.0,1
53,79,59,82,63.666666666666664,1
70,41,56,59,55.666666666666664,1
91,52,85,34,76.0,0
58,47,74,25,59.666666666666664,1
97,91,96,82,94.66666666666667,0
86,91,99,27,92.0,0
55,67,75,51,65.66666666666667,1
92,96,63,64,83.66666666666667,0
44,67,76,71,62.333333333333336,1
74,96,25,98,65.0,1
51,90,51,32,64.0,1
64,30,93,43,62.333333333333336,1
91,74,37,59,67.33333333333333,1
98,57,87,33,80.66666666666667,0
60,50,92,94,67.33333333333333,0
75,42,26,89,47.666666666666664,1
92,56,27,81,58.333333333333336,1
62,36,83,80,60.333333333333336,1
55,51,26,20,44.0,1
96,82,60,85,79.33333333333333,0
78,33,59,51,56.666666666666664,1
84,52,22,32,52.666666666666664,1
92,99,36,52,75.66666666666667,1
81,62,85,51,76.0,0
97,57,98,75,84.0,0
78,37,71,43,62.0,1
53,30,41,23,41.333333333333336,1
70,66,23,42,53.0,1
97,92,25,48,71.33333333333333,1
44,51,57,40,50.666666666666664,1
74,99,45,49,72.66666666666667,0
62,50,30,39,47.333333333333336,1
68,64,36,35,56.0,1
82,34,50,86,55.333333333333336,1
50,89,96,68,78.33333333333333,1
57,75,54,77,62.0,1
86,79,35,63,66.66666666666667,1
51,77,98,44,75.33333333333333,1
48,35,37,42,40.0,1
49,85,81,78,71.66666666666667,1
97,88,46,20,77.0,0
83,58,54,34,65.0,0
56,47,64,71,55.666666666666664,1
77,31,54,77,54.0,1
46,37,47,60,43.333333333333336,1
85,83,28,63,65.33333333333333,1
52,67,95,23,71.33333333333333,1
79,77,34,96,63.333333333333336,1
81,56,40,87,59.0,0
48,49,71,26,56.0,1
89,41,54,65,61.333333333333336,1
66,72,70,28,69.33333333333333,0
97,90,74,52,87.0,0
41,60,96,52,65.66666666666667,1
44,90,63,23,65.66666666666667,1
68,96,84,84,82.66666666666667,0
76,64,99,53,79.66666666666667,0
77,44,44,98,55.0,1
58,45,66,83,56.333333333333336,1
47,42,99,44,62.666666666666664,1
87,64,75,74,75.33333333333333,0
84,88,57,28,76.33333333333333,0
40,50,30,36,40.0,1
61,83,86,40,76.66666666666667,0
91,59,34,79,61.333333333333336,1
56,77,20,32,51.0,1
46,64,26,22,45.333333333333336,1
64,67,20,87,50.333333333333336,1
84,60,68,23,70.66666666666667,0
43,53,92,26,62.666666666666664,1
75,78,48,45,67.0,0
45,61,45,94,50.333333333333336,1
99,84,64,43,82.33333333333333,0
70,87,90,29,82.33333333333333,0
58,32,31,32,40.333333333333336,1
83,98,51,63,77.33333333333333,0
93,39,39,58,57.0,1
78,54,70,38,67.33333333333333,0
66,97,55,70,72.66666666666667,0
49,90,86,38,75.0,1
65,58,20,95,47.666666666666664,1
58,48,46,71,50.666666666666664,1
78,72,59,66,69.66666666666667,0
